ticker,tte_bucket,p_raw,p_cal,market_p_yes,market_p_no,y_true
KXBTC15M-26JAN172115-15,660,0.678098,0.68734,0.82,0.23,1
KXBTC15M-26JAN172115-15,680,0.730937,0.716386,0.82,0.24,1
KXBTC15M-26JAN172115-15,700,0.734346,0.69288,0.8,0.23,1
KXBTC15M-26JAN172115-15,720,0.692688,0.685156,0.73,0.28,1
KXBTC15M-26JAN172130-30,80,0.005025,0.052456,0.86,0.17,1
KXBTC15M-26JAN172130-30,100,0.005763,0.099012,0.83,0.32,1
KXBTC15M-26JAN172130-30,120,0.005025,0.073435,0.86,0.2,1
KXBTC15M-26JAN172130-30,140,0.281451,0.403592,0.86,0.32,1
KXBTC15M-26JAN172130-30,160,0.397,0.558049,0.96,0.2,1
KXBTC15M-26JAN172130-30,180,0.748646,0.824699,0.98,0.04,1
KXBTC15M-26JAN172130-30,200,0.697192,0.809544,0.96,0.05,1
KXBTC15M-26JAN172130-30,220,0.793315,0.869371,0.97,0.07,1
KXBTC15M-26JAN172130-30,240,0.793315,0.88173,0.95,0.12,1
KXBTC15M-26JAN172130-30,260,0.694681,0.813642,0.95,0.15,1
KXBTC15M-26JAN172130-30,280,0.697579,0.828795,0.95,0.17,1
KXBTC15M-26JAN172130-30,300,0.697579,0.820948,0.93,0.14,1
KXBTC15M-26JAN172130-30,320,0.737161,0.872835,0.93,0.12,1
KXBTC15M-26JAN172130-30,340,0.643943,0.790315,0.92,0.12,1
KXBTC15M-26JAN172130-30,360,0.660787,0.774306,0.95,0.12,1
KXBTC15M-26JAN172130-30,380,0.662835,0.793985,0.95,0.13,1
KXBTC15M-26JAN172130-30,400,0.662835,0.785524,0.95,0.15,1
KXBTC15M-26JAN172130-30,420,0.662835,0.771292,0.97,0.16,1
KXBTC15M-26JAN172130-30,440,0.640114,0.751139,0.93,0.18,1
KXBTC15M-26JAN172130-30,460,0.640114,0.734938,0.94,0.2,1
KXBTC15M-26JAN172130-30,480,0.696227,0.765834,0.78,0.23,1
KXBTC15M-26JAN172130-30,500,0.688152,0.7686,0.88,0.19,1
KXBTC15M-26JAN172130-30,520,0.734171,0.798209,0.92,0.18,1
KXBTC15M-26JAN172130-30,540,0.703149,0.711502,0.88,0.19,1
KXBTC15M-26JAN172130-30,560,0.724511,0.727548,0.81,0.2,1
KXBTC15M-26JAN172130-30,580,0.724511,0.723344,0.81,0.2,1
KXBTC15M-26JAN172130-30,600,0.682729,0.687501,0.81,0.2,1
KXBTC15M-26JAN172130-30,620,0.680999,0.692769,0.77,0.29,1
KXBTC15M-26JAN172130-30,640,0.737842,0.7564,0.8,0.25,1
KXBTC15M-26JAN172130-30,660,0.705013,0.711369,0.83,0.22,1
KXBTC15M-26JAN172130-30,680,0.697602,0.688007,0.85,0.19,1
KXBTC15M-26JAN172130-30,700,0.720643,0.68191,0.89,0.13,1
KXBTC15M-26JAN172130-30,720,0.746545,0.732655,0.9,0.14,1
KXBTC15M-26JAN172145-45,80,0.002751,0.035947,0.04,0.96,0
KXBTC15M-26JAN172145-45,100,0.002741,0.06588,0.06,0.94,0
KXBTC15M-26JAN172145-45,120,0.001971,0.03748,0.01,0.99,0
KXBTC15M-26JAN172145-45,140,0.016592,0.01304,0.01,0.99,0
KXBTC15M-26JAN172145-45,160,0.008028,0.015303,0.01,0.99,0
KXBTC15M-26JAN172145-45,180,0.008028,0.021446,0.02,0.98,0
KXBTC15M-26JAN172145-45,200,0.026965,0.033789,0.03,0.99,0
KXBTC15M-26JAN172145-45,220,0.017051,0.024647,0.01,0.99,0
KXBTC15M-26JAN172145-45,240,0.02681,0.04054,0.03,0.97,0
KXBTC15M-26JAN172145-45,260,0.046765,0.041537,0.03,0.97,0
KXBTC15M-26JAN172145-45,280,0.029514,0.022799,0.04,0.99,0
KXBTC15M-26JAN172145-45,300,0.029848,0.028922,0.02,0.99,0
KXBTC15M-26JAN172145-45,320,0.05363,0.040305,0.02,0.99,0
KXBTC15M-26JAN172145-45,340,0.053457,0.046581,0.02,0.99,0
KXBTC15M-26JAN172145-45,360,0.05363,0.058734,0.02,0.99,0
KXBTC15M-26JAN172145-45,380,0.074757,0.069963,0.02,0.99,0
KXBTC15M-26JAN172145-45,400,0.078606,0.073263,0.02,0.99,0
KXBTC15M-26JAN172145-45,420,0.102807,0.118284,0.04,0.97,0
KXBTC15M-26JAN172145-45,440,0.13491,0.126049,0.04,0.97,0
KXBTC15M-26JAN172145-45,460,0.13426,0.128348,0.04,0.97,0
KXBTC15M-26JAN172145-45,480,0.141101,0.150018,0.06,0.96,0
KXBTC15M-26JAN172145-45,500,0.15769,0.161672,0.06,0.96,0
KXBTC15M-26JAN172145-45,520,0.169895,0.175963,0.11,0.92,0
KXBTC15M-26JAN172145-45,540,0.161653,0.222131,0.11,0.92,0
KXBTC15M-26JAN172145-45,560,0.217421,0.278732,0.16,0.9,0
KXBTC15M-26JAN172145-45,580,0.319299,0.386285,0.2,0.82,0
KXBTC15M-26JAN172145-45,600,0.173003,0.241165,0.11,0.94,0
KXBTC15M-26JAN172145-45,620,0.194356,0.23163,0.11,0.95,0
KXBTC15M-26JAN172145-45,640,0.135963,0.149579,0.11,0.92,0
KXBTC15M-26JAN172145-45,660,0.140227,0.178084,0.14,0.92,0
KXBTC15M-26JAN172145-45,680,0.153523,0.210568,0.12,0.91,0
KXBTC15M-26JAN172145-45,700,0.163076,0.241368,0.14,0.89,0
KXBTC15M-26JAN172145-45,720,0.192594,0.239047,0.15,0.88,0
KXBTC15M-26JAN172200-00,80,0.996647,0.98638,0.99,0.01,1
KXBTC15M-26JAN172200-00,100,0.996166,0.984601,0.99,0.02,1
KXBTC15M-26JAN172200-00,120,0.996113,0.996552,0.99,0.02,1
KXBTC15M-26JAN172200-00,140,0.90911,0.975031,0.97,0.07,1
KXBTC15M-26JAN172200-00,160,0.940634,0.968112,0.97,0.08,1
KXBTC15M-26JAN172200-00,180,0.947337,0.96018,0.98,0.03,1
KXBTC15M-26JAN172200-00,200,0.920329,0.960787,0.98,0.03,1
KXBTC15M-26JAN172200-00,220,0.914219,0.950244,0.97,0.04,1
KXBTC15M-26JAN172200-00,240,0.84556,0.915373,0.97,0.07,1
KXBTC15M-26JAN172200-00,260,0.877754,0.9456,0.96,0.07,1
KXBTC15M-26JAN172200-00,280,0.786533,0.896075,0.92,0.12,1
KXBTC15M-26JAN172200-00,300,0.767695,0.874599,0.79,0.22,1
KXBTC15M-26JAN172200-00,320,0.767695,0.894785,0.78,0.23,1
KXBTC15M-26JAN172200-00,340,0.556353,0.70429,0.71,0.36,1
KXBTC15M-26JAN172200-00,360,0.544668,0.663826,0.68,0.41,1
KXBTC15M-26JAN172200-00,380,0.493766,0.61886,0.68,0.38,1
KXBTC15M-26JAN172200-00,400,0.531007,0.651029,0.65,0.41,1
KXBTC15M-26JAN172200-00,420,0.314588,0.393026,0.66,0.4,1
KXBTC15M-26JAN172200-00,440,0.445332,0.527708,0.59,0.43,1
KXBTC15M-26JAN172200-00,460,0.345149,0.390872,0.59,0.43,1
KXBTC15M-26JAN172200-00,480,0.599248,0.670817,0.61,0.4,1
KXBTC15M-26JAN172200-00,500,0.555772,0.63314,0.74,0.29,1
KXBTC15M-26JAN172200-00,520,0.596666,0.662585,0.69,0.33,1
KXBTC15M-26JAN172200-00,540,0.649047,0.66596,0.71,0.34,1
KXBTC15M-26JAN172200-00,560,0.537064,0.569153,0.68,0.35,1
KXBTC15M-26JAN172200-00,580,0.807943,0.79399,0.91,0.14,1
KXBTC15M-26JAN172200-00,600,0.759218,0.751307,0.92,0.09,1
KXBTC15M-26JAN172200-00,620,0.760168,0.764562,0.9,0.12,1
KXBTC15M-26JAN172200-00,640,0.734122,0.752871,0.84,0.19,1
KXBTC15M-26JAN172200-00,660,0.729635,0.733425,0.83,0.21,1
KXBTC15M-26JAN172200-00,680,0.736846,0.721464,0.82,0.19,1
KXBTC15M-26JAN172200-00,700,0.701172,0.666539,0.81,0.21,1
KXBTC15M-26JAN172200-00,720,0.736846,0.724023,0.8,0.21,1
KXBTC15M-26JAN172215-15,80,0.996423,0.9858,0.99,0.01,1
KXBTC15M-26JAN172215-15,100,0.996423,0.985218,0.99,0.02,1
KXBTC15M-26JAN172215-15,120,0.996349,0.996711,0.99,0.03,1
KXBTC15M-26JAN172215-15,140,0.953092,0.989563,0.99,0.03,1
KXBTC15M-26JAN172215-15,160,0.955176,0.976092,0.98,0.04,1
KXBTC15M-26JAN172215-15,180,0.953586,0.964549,0.97,0.07,1
KXBTC15M-26JAN172215-15,200,0.921531,0.961457,0.97,0.05,1
KXBTC15M-26JAN172215-15,220,0.92607,0.957562,0.96,0.06,1
KXBTC15M-26JAN172215-15,240,0.920621,0.959597,0.96,0.06,1
KXBTC15M-26JAN172215-15,260,0.847997,0.927713,0.94,0.07,1
KXBTC15M-26JAN172215-15,280,0.816887,0.916066,0.94,0.09,1
KXBTC15M-26JAN172215-15,300,0.920449,0.967836,0.91,0.13,1
KXBTC15M-26JAN172215-15,320,0.6522,0.802258,0.94,0.18,1
KXBTC15M-26JAN172215-15,340,0.608419,0.75703,0.68,0.33,1
KXBTC15M-26JAN172215-15,360,0.559118,0.678433,0.82,0.34,1
KXBTC15M-26JAN172215-15,380,0.546188,0.677864,0.69,0.34,1
KXBTC15M-26JAN172215-15,400,0.577858,0.701744,0.69,0.32,1
KXBTC15M-26JAN172215-15,420,0.577858,0.691043,0.8,0.21,1
KXBTC15M-26JAN172215-15,440,0.737556,0.842402,0.95,0.23,1
KXBTC15M-26JAN172215-15,460,0.669346,0.764135,0.83,0.22,1
KXBTC15M-26JAN172215-15,480,0.669346,0.740274,0.83,0.29,1
KXBTC15M-26JAN172215-15,500,0.757664,0.832355,0.79,0.31,1
KXBTC15M-26JAN172215-15,520,0.661851,0.728867,0.8,0.33,1
KXBTC15M-26JAN172215-15,540,0.818899,0.811294,0.8,0.26,1
KXBTC15M-26JAN172215-15,560,0.811709,0.803327,0.84,0.19,1
KXBTC15M-26JAN172215-15,580,0.771864,0.763002,0.85,0.19,1
KXBTC15M-26JAN172215-15,600,0.77301,0.763055,0.87,0.19,1
KXBTC15M-26JAN172215-15,620,0.749489,0.75484,0.87,0.19,1
KXBTC15M-26JAN172215-15,640,0.728219,0.747268,0.8,0.21,1
KXBTC15M-26JAN172215-15,660,0.733963,0.737311,0.88,0.21,1
KXBTC15M-26JAN172215-15,680,0.672901,0.667225,0.82,0.25,1
KXBTC15M-26JAN172215-15,700,0.709283,0.672913,0.82,0.27,1
KXBTC15M-26JAN172215-15,720,0.671694,0.666879,0.76,0.28,1
KXBTC15M-26JAN172230-30,80,0.996992,0.987305,0.95,0.05,1
KXBTC15M-26JAN172230-30,100,0.99578,0.98371,0.98,0.05,1
KXBTC15M-26JAN172230-30,120,0.99578,0.996331,0.96,0.09,1
KXBTC15M-26JAN172230-30,140,0.814735,0.933164,0.91,0.13,1
KXBTC15M-26JAN172230-30,160,0.802956,0.886508,0.87,0.19,1
KXBTC15M-26JAN172230-30,180,0.802956,0.862164,0.84,0.18,1
KXBTC15M-26JAN172230-30,200,0.656951,0.776774,0.83,0.19,1
KXBTC15M-26JAN172230-30,220,0.732524,0.824474,0.77,0.29,1
KXBTC15M-26JAN172230-30,240,0.682734,0.802593,0.63,0.4,1
KXBTC15M-26JAN172230-30,260,0.250364,0.303037,0.2,0.86,1
KXBTC15M-26JAN172230-30,280,0.243424,0.299301,0.14,0.9,1
KXBTC15M-26JAN172230-30,300,0.243424,0.315339,0.17,0.9,1
KXBTC15M-26JAN172230-30,320,0.280015,0.342026,0.2,0.84,1
KXBTC15M-26JAN172230-30,340,0.281623,0.356654,0.23,0.88,1
KXBTC15M-26JAN172230-30,360,0.280015,0.356102,0.26,0.79,1
KXBTC15M-26JAN172230-30,380,0.308648,0.382461,0.26,0.76,1
KXBTC15M-26JAN172230-30,400,0.314726,0.38235,0.27,0.75,1
KXBTC15M-26JAN172230-30,420,0.301323,0.376314,0.3,0.76,1
KXBTC15M-26JAN172230-30,440,0.362009,0.420014,0.31,0.74,1
KXBTC15M-26JAN172230-30,460,0.344123,0.389572,0.42,0.69,1
KXBTC15M-26JAN172230-30,480,0.350839,0.397618,0.42,0.62,1
KXBTC15M-26JAN172230-30,500,0.549364,0.626168,0.53,0.48,1
KXBTC15M-26JAN172230-30,520,0.531664,0.59335,0.79,0.47,1
KXBTC15M-26JAN172230-30,540,0.62046,0.641975,0.89,0.37,1
KXBTC15M-26JAN172230-30,560,0.711547,0.716496,0.88,0.32,1
KXBTC15M-26JAN172230-30,580,0.782341,0.771919,0.82,0.28,1
KXBTC15M-26JAN172230-30,600,0.653376,0.663412,0.7,0.32,1
KXBTC15M-26JAN172230-30,620,0.684221,0.695682,0.67,0.37,1
KXBTC15M-26JAN172230-30,640,0.684221,0.705304,0.63,0.44,1
KXBTC15M-26JAN172230-30,660,0.590617,0.609424,0.6,0.43,1
KXBTC15M-26JAN172230-30,680,0.498165,0.522591,0.58,0.48,1
KXBTC15M-26JAN172230-30,700,0.521871,0.531792,0.54,0.53,1
KXBTC15M-26JAN172230-30,720,0.404846,0.436631,0.42,0.6,1
KXBTC15M-26JAN172245-45,80,0.996731,0.986602,0.98,0.05,1
KXBTC15M-26JAN172245-45,100,0.996731,0.985979,0.97,0.04,1
KXBTC15M-26JAN172245-45,120,0.996731,0.996976,0.97,0.06,1
KXBTC15M-26JAN172245-45,140,0.888723,0.967175,0.93,0.09,1
KXBTC15M-26JAN172245-45,160,0.931617,0.963106,0.95,0.1,1
KXBTC15M-26JAN172245-45,180,0.947627,0.960382,0.98,0.04,1
KXBTC15M-26JAN172245-45,200,0.947627,0.975544,0.97,0.05,1
KXBTC15M-26JAN172245-45,220,0.947627,0.970573,0.97,0.04,1
KXBTC15M-26JAN172245-45,240,0.938337,0.969297,0.96,0.05,1
KXBTC15M-26JAN172245-45,260,0.899731,0.957849,0.96,0.06,1
KXBTC15M-26JAN172245-45,280,0.899731,0.962723,0.94,0.07,1
KXBTC15M-26JAN172245-45,300,0.899731,0.957206,0.94,0.07,1
KXBTC15M-26JAN172245-45,320,0.872092,0.956335,0.95,0.09,1
KXBTC15M-26JAN172245-45,340,0.872092,0.952142,0.94,0.09,1
KXBTC15M-26JAN172245-45,360,0.845555,0.917082,0.95,0.1,1
KXBTC15M-26JAN172245-45,380,0.848921,0.933661,0.89,0.14,1
KXBTC15M-26JAN172245-45,400,0.827894,0.916228,0.88,0.15,1
KXBTC15M-26JAN172245-45,420,0.86131,0.925565,0.9,0.24,1
KXBTC15M-26JAN172245-45,440,0.8164,0.904605,0.93,0.1,1
KXBTC15M-26JAN172245-45,460,0.812841,0.890315,0.9,0.12,1
KXBTC15M-26JAN172245-45,480,0.841932,0.892738,0.91,0.14,1
KXBTC15M-26JAN172245-45,500,0.778076,0.85,0.85,0.17,1
KXBTC15M-26JAN172245-45,520,0.760733,0.822459,0.83,0.23,1
KXBTC15M-26JAN172245-45,540,0.760733,0.760551,0.82,0.24,1
KXBTC15M-26JAN172245-45,560,0.61669,0.63636,0.73,0.28,1
KXBTC15M-26JAN172245-45,580,0.511956,0.550297,0.69,0.35,1
KXBTC15M-26JAN172245-45,600,0.642196,0.654269,0.78,0.27,1
KXBTC15M-26JAN172245-45,620,0.665272,0.67855,0.8,0.24,1
KXBTC15M-26JAN172245-45,640,0.704762,0.724937,0.77,0.24,1
KXBTC15M-26JAN172245-45,660,0.662354,0.673309,0.77,0.25,1
KXBTC15M-26JAN172245-45,680,0.672583,0.666959,0.8,0.22,1
KXBTC15M-26JAN172245-45,700,0.693093,0.660229,0.84,0.2,1
KXBTC15M-26JAN172245-45,720,0.680028,0.674121,0.81,0.2,1
KXBTC15M-26JAN172300-00,80,0.996273,0.985416,0.99,0.02,1
KXBTC15M-26JAN172300-00,100,0.995035,0.982078,0.98,0.04,1
KXBTC15M-26JAN172300-00,120,0.995035,0.995849,0.98,0.03,1
KXBTC15M-26JAN172300-00,140,0.641499,0.819193,0.96,0.24,1
KXBTC15M-26JAN172300-00,160,0.641499,0.774309,0.8,0.23,1
KXBTC15M-26JAN172300-00,180,0.653971,0.75679,0.76,0.32,1
KXBTC15M-26JAN172300-00,200,0.616442,0.742044,0.77,0.24,1
KXBTC15M-26JAN172300-00,220,0.665429,0.771493,0.64,0.37,1
KXBTC15M-26JAN172300-00,240,0.495957,0.641667,0.55,0.46,1
KXBTC15M-26JAN172300-00,260,0.517224,0.638392,0.54,0.53,1
KXBTC15M-26JAN172300-00,280,0.517224,0.652932,0.54,0.49,1
KXBTC15M-26JAN172300-00,300,0.517224,0.652061,0.55,0.49,1
KXBTC15M-26JAN172300-00,320,0.511302,0.654371,0.55,0.46,1
KXBTC15M-26JAN172300-00,340,0.504545,0.647213,0.55,0.48,1
KXBTC15M-26JAN172300-00,360,0.504545,0.622,0.44,0.57,1
KXBTC15M-26JAN172300-00,380,0.411113,0.518059,0.5,0.53,1
KXBTC15M-26JAN172300-00,400,0.411113,0.508094,0.52,0.55,1
KXBTC15M-26JAN172300-00,420,0.409761,0.508702,0.48,0.53,1
KXBTC15M-26JAN172300-00,440,0.476717,0.566798,0.51,0.54,1
KXBTC15M-26JAN172300-00,460,0.478841,0.556024,0.5,0.52,1
KXBTC15M-26JAN172300-00,480,0.499934,0.566093,0.63,0.38,1
KXBTC15M-26JAN172300-00,500,0.478757,0.54715,0.51,0.52,1
KXBTC15M-26JAN172300-00,520,0.590734,0.65639,0.61,0.4,1
KXBTC15M-26JAN172300-00,540,0.623746,0.644731,0.8,0.25,1
KXBTC15M-26JAN172300-00,560,0.649144,0.663692,0.77,0.24,1
KXBTC15M-26JAN172300-00,580,0.652475,0.664345,0.75,0.29,1
KXBTC15M-26JAN172300-00,600,0.609416,0.627523,0.73,0.3,1
KXBTC15M-26JAN172300-00,620,0.668877,0.681809,0.76,0.29,1
KXBTC15M-26JAN172300-00,640,0.63234,0.655378,0.77,0.28,1
